test_words,corrAns,priming,textbox.text,,,,,,
_gg_,eggs,0,uggs,,,,,,
f_u_t,fruit,0,fr,,,,,,
_en_i_,pencil,0,pencil,,,prop of hits of primed words,,,0.466666667
h_m__r,hammer,0,,,,prop of hits of unprimed words,,,0.2
__mb,comb,0,comb,,,priming score,,,0.266666667
t_ee,tree,0,tree,,,,,,
c_oc_l_t_,chocolate,0,coconut,,,,,,
_ak_,lake,0,take,,,,,,
co_t,coat,0,coat,,,,,,
_ou_e,house,0,blouse,,,,,,
pa_e_,paper,0,paper,,,,,,
b_n__a,banana,0,,,,,,,
_oa_,soap,0,goat,,,,,,
m__k,milk,0,musk,,,,,,
l_o_,lion,0,lion,,,,,,
s_oo_,spoon,1,spoon,,,,,,
_ab_e,table,1,table,,,,,,
_e_t,belt,1,beet,,,,,,
b_us_,brush,1,brush,,,,,,
_ey,key,1,key,,,,,,
br_c_,brick,1,brick,,,,,,
a_pl_,apple,1,apple,,,,,,
l_p_o_,laptop,1,laptop,,,,,,
ch_i_,chair,1,chair,,,,,,
sh__s,shoes,1,shoes,,,,,,
e_r_i_g_,earrings,1,earrings,,,,,,
_ot_el,bottle,1,bottel,,,,,,
t_g_r,tiger,1,tiger,,,,,,
p_l_ow,pillow,1,pillow,,,,,,
ca_e_a,camera,1,camera,,,,,,